--------------------------------------------------------------------------------
		Marvellous Infosystems Process Log
		Log file is created at : Sat Jun 21 22:57:40 2025
--------------------------------------------------------------------------------{'name': 'System Idle Process', 'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 0.05859375} 
{'name': 'Dell.TechHub.exe', 'pid': 4336, 'username': None, 'vms': 28.9765625} 

{'name': 'svchost.exe', 'pid': 4344, 'username': None, 'vms': 27.79296875} 

{'name': 'svchost.exe', 'pid': 4364, 'username': None, 'vms': 2.1171875} 

{'name': 'avp.exe', 'pid': 4372, 'username': None, 'vms': 447.58203125} 

{'name': 'svchost.exe', 'pid': 4380, 'username': None, 'vms': 44.0390625} 

{'name': 'esif_uf.exe', 'pid': 4424, 'username': None, 'vms': 2.15625} 

{'name': 'svchost.exe', 'pid': 4432, 'username': None, 'vms': 2.89453125} 

{'name': 'IntelAudioService.exe', 'pid': 4440, 'username': None, 'vms': 37.16796875} 

{'name': 'OneApp.IGCC.WinService.exe', 'pid': 4488, 'username': None, 'vms': 31.99609375} 

{'name': 'svchost.exe', 'pid': 4500, 'username': None, 'vms': 17.19140625} 

{'name': 'mosquitto.exe', 'pid': 4560, 'username': None, 'vms': 1.4453125} 

{'name': 'svchost.exe', 'pid': 4600, 'username': None, 'vms': 2.40625} 

{'name': 'jhi_service.exe', 'pid': 4616, 'username': None, 'vms': 1.26953125} 

{'name': 'mysqld.exe', 'pid': 4688, 'username': None, 'vms': 32.6640625} 

{'name': 'pg_ctl.exe', 'pid': 4696, 'username': None, 'vms': 1.33203125} 

{'name': 'svchost.exe', 'pid': 4708, 'username': None, 'vms': 1.6015625} 

{'name': 'RtkAudUService64.exe', 'pid': 4732, 'username': None, 'vms': 4.7734375} 

{'name': 'svchost.exe', 'pid': 4744, 'username': None, 'vms': 2.5859375} 

{'name': 'sqlwriter.exe', 'pid': 4776, 'username': None, 'vms': 2.0546875} 

{'name': 'WavesAudioService.exe', 'pid': 4884, 'username': None, 'vms': 12.8203125} 

{'name': 'svchost.exe', 'pid': 4892, 'username': None, 'vms': 1.45703125} 

{'name': 'WavesSysSvc64.exe', 'pid': 4904, 'username': None, 'vms': 44.984375} 

{'name': 'svchost.exe', 'pid': 4912, 'username': None, 'vms': 5.46484375} 

{'name': 'TeamViewer_Service.exe', 'pid': 4924, 'username': None, 'vms': 17.453125} 

{'name': 'WMIRegistrationService.exe', 'pid': 4932, 'username': None, 'vms': 2.7109375} 

{'name': 'wslservice.exe', 'pid': 4940, 'username': None, 'vms': 6.375} 

{'name': 'TbtP2pShortcutService.exe', 'pid': 4948, 'username': None, 'vms': 1.359375} 

{'name': 'dasHost.exe', 'pid': 4972, 'username': None, 'vms': 4.2890625} 

{'name': 'svchost.exe', 'pid': 5144, 'username': None, 'vms': 1.69140625} 

{'name': 'Code.exe', 'pid': 5316, 'username': 'SIT-LT-378\\10774', 'vms': 323.85546875} 

{'name': 'mysqld.exe', 'pid': 5604, 'username': None, 'vms': 586.1015625} 

{'name': 'chrome.exe', 'pid': 5640, 'username': 'SIT-LT-378\\10774', 'vms': 13.15234375} 

{'name': 'svchost.exe', 'pid': 5728, 'username': None, 'vms': 3.67578125} 

{'name': 'conhost.exe', 'pid': 5772, 'username': None, 'vms': 6.41015625} 

{'name': 'aswEngSrv.exe', 'pid': 6056, 'username': None, 'vms': 27.7109375} 

{'name': 'dptf_helper.exe', 'pid': 6068, 'username': 'SIT-LT-378\\10774', 'vms': 1.57421875} 

{'name': 'Code.exe', 'pid': 6196, 'username': 'SIT-LT-378\\10774', 'vms': 590.88671875} 

{'name': 'fontdrvhost.exe', 'pid': 6240, 'username': None, 'vms': 6.83984375} 

{'name': 'DDVDataCollector.exe', 'pid': 6252, 'username': None, 'vms': 55.3515625} 

{'name': 'AvastUI.exe', 'pid': 6408, 'username': 'SIT-LT-378\\10774', 'vms': 37.25390625} 

{'name': 'WmiPrvSE.exe', 'pid': 6456, 'username': None, 'vms': 23.9375} 

{'name': 'postgres.exe', 'pid': 6708, 'username': None, 'vms': 2.640625} 

{'name': 'RuntimeBroker.exe', 'pid': 6732, 'username': 'SIT-LT-378\\10774', 'vms': 5.8125} 

{'name': 'chrome.exe', 'pid': 6756, 'username': 'SIT-LT-378\\10774', 'vms': 191.0234375} 

{'name': 'conhost.exe', 'pid': 6772, 'username': None, 'vms': 6.44140625} 

{'name': 'msedgewebview2.exe', 'pid': 6888, 'username': 'SIT-LT-378\\10774', 'vms': 10.40625} 

{'name': 'svchost.exe', 'pid': 7032, 'username': None, 'vms': 2.01171875} 

{'name': 'Code.exe', 'pid': 7152, 'username': 'SIT-LT-378\\10774', 'vms': 666.21484375} 

{'name': 'ApplicationFrameHost.exe', 'pid': 7160, 'username': 'SIT-LT-378\\10774', 'vms': 18.6484375} 

{'name': 'postgres.exe', 'pid': 7188, 'username': None, 'vms': 2.15625} 

{'name': 'svchost.exe', 'pid': 7208, 'username': None, 'vms': 3.7109375} 

{'name': 'postgres.exe', 'pid': 7316, 'username': None, 'vms': 2.5078125} 

{'name': 'postgres.exe', 'pid': 7324, 'username': None, 'vms': 2.484375} 

{'name': 'postgres.exe', 'pid': 7332, 'username': None, 'vms': 2.45703125} 

{'name': 'postgres.exe', 'pid': 7340, 'username': None, 'vms': 3.0859375} 

{'name': 'postgres.exe', 'pid': 7348, 'username': None, 'vms': 2.26171875} 

{'name': 'postgres.exe', 'pid': 7356, 'username': None, 'vms': 3.02734375} 

{'name': 'svchost.exe', 'pid': 7372, 'username': None, 'vms': 6.34375} 

{'name': 'svchost.exe', 'pid': 7412, 'username': None, 'vms': 1.97265625} 

{'name': 'AvastUI.exe', 'pid': 7440, 'username': 'SIT-LT-378\\10774', 'vms': 16.38671875} 

{'name': 'SearchIndexer.exe', 'pid': 7748, 'username': None, 'vms': 38.0703125} 

{'name': 'svchost.exe', 'pid': 8052, 'username': None, 'vms': 3.6640625} 

{'name': 'dasHost.exe', 'pid': 8216, 'username': None, 'vms': 0.9765625} 

{'name': 'Code.exe', 'pid': 8268, 'username': 'SIT-LT-378\\10774', 'vms': 90.92578125} 

{'name': 'dllhost.exe', 'pid': 8300, 'username': 'SIT-LT-378\\10774', 'vms': 3.47265625} 

{'name': 'Dell.CoreServices.Client.exe', 'pid': 8892, 'username': None, 'vms': 78.22265625} 

